93.99080000000322, 126.0, '2000/01/12'
19782.7508, 0, '2000/01/13'
128.46330000000307, 125.0, '2000/01/14'
19390.963300000003, 0, '2000/01/18'
51.90370000000257, 126.0, '2000/01/21'
18920.403700000003, 0, '2000/01/24'
22.07980000000316, 127.0, '2000/01/25'
18946.972100000006, 0, '2000/01/27'
16.22210000000632, 129.0, '2000/01/31'
18988.510100000007, 0, '2000/02/01'
102.51010000000679, 133.0, '2000/02/03'
18057.510100000007, 0, '2000/02/04'
117.63010000000577, 126.0, '2000/02/08'
17867.943100000004, 0, '2000/02/11'
25.50310000000536, 132.0, '2000/02/16'
19825.503100000005, 0, '2000/02/18'
66.72510000000693, 130.0, '2000/02/21'
19771.579100000006, 0, '2000/02/22'
11.579100000006292, 130.0, '2000/02/28'
20301.719100000006, 0, '2000/03/02'
62.89350000000559, 144.0, '2000/03/09'
22526.893500000006, 0, '2000/03/20'
83.1543000000056, 144.0, '2000/03/23'
23245.554300000003, 0, '2000/03/29'
135.05430000000342, 142.0, '2000/03/31'
24688.771300000004, 0, '2000/04/06'
133.49170000000595, 162.0, '2000/04/18'
27581.84830000001, 0, '2000/04/27'
74.84830000000875, 173.0, '2000/05/09'
29784.622700000007, 0, '2000/05/15'
2.665500000006432, 181.0, '2000/05/23'
30772.665500000006, 0, '2000/05/30'
67.31150000000707, 180.0, '2000/06/01'
30847.311500000007, 0, '2000/06/02'
166.73330000000715, 177.0, '2000/06/05'
30647.90330000001, 0, '2000/06/08'
137.90330000000904, 180.0, '2000/06/14'
31637.90330000001, 0, '2000/06/16'
122.15330000000904, 189.0, '2000/06/22'
30465.044900000008, 0, '2000/06/27'
30.794900000008056, 187.0, '2000/07/03'
30867.54370000001, 0, '2000/07/05'
43.71660000000702, 187.0, '2000/07/12'
31833.716600000007, 0, '2000/07/18'
120.21660000000702, 182.0, '2000/07/20'
31151.216600000007, 0, '2000/07/21'
39.67940000000817, 183.0, '2000/07/24'
29868.679400000008, 0, '2000/07/25'
86.9626000000062, 176.0, '2000/07/27'
30358.962600000006, 0, '2000/08/01'
18.462600000006205, 179.0, '2000/08/03'
31224.982500000006, 0, '2000/08/09'
165.98250000000553, 174.0, '2000/08/11'
31442.482500000006, 0, '2000/08/15'
177.48250000000553, 169.0, '2000/08/16'
30790.1425, 0, '2000/08/17'
25.532500000001164, 171.0, '2000/08/23'
31089.2215, 0, '2000/08/29'
114.22149999999965, 175.0, '2000/08/31'
29995.4715, 0, '2000/09/01'
24.41519999999946, 173.0, '2000/09/05'
30004.9692, 0, '2000/09/06'
120.29520000000048, 174.0, '2000/09/07'
30113.5452, 0, '2000/09/11'
11.09519999999975, 175.0, '2000/09/13'
30213.645200000003, 0, '2000/09/15'
95.86520000000382, 180.0, '2000/09/21'
29725.665200000007, 0, '2000/09/26'
41.665200000006735, 181.0, '2000/09/29'
30585.415200000007, 0, '2000/10/04'
97.16520000000673, 177.0, '2000/10/05'
30954.814200000004, 0, '2000/10/06'
104.34420000000682, 189.0, '2000/10/13'
30690.403200000004, 0, '2000/10/17'
22.40320000000429, 187.0, '2000/10/19'
30378.3002, 0, '2000/10/23'
147.08450000000084, 183.0, '2000/10/24'
30755.481499999998, 0, '2000/10/25'
42.753499999998894, 184.0, '2000/10/27'
30970.2095, 0, '2000/10/30'
100.20950000000084, 180.0, '2000/10/31'
31330.2095, 0, '2000/11/03'
5.209500000000844, 175.0, '2000/11/06'
30280.2095, 0, '2000/11/07'
119.90850000000137, 173.0, '2000/11/13'
29561.221500000003, 0, '2000/11/14'
88.02710000000297, 169.0, '2000/11/17'
29789.777100000003, 0, '2000/11/22'
11.777100000002974, 168.0, '2000/11/23'
30947.2971, 0, '2000/11/27'
31.620100000000093, 169.0, '2000/11/28'
30367.1201, 0, '2000/11/29'
111.37189999999828, 171.0, '2000/12/04'
29709.248899999995, 0, '2000/12/06'
91.74889999999505, 165.0, '2000/12/07'
28966.748899999995, 0, '2000/12/08'
127.196899999999, 168.0, '2000/12/12'
28917.3569, 0, '2000/12/13'
37.008899999997084, 166.0, '2000/12/14'
30122.848899999997, 0, '2000/12/20'
134.09889999999723, 165.0, '2000/12/21'
29875.348899999997, 0, '2000/12/22'
115.34889999999723, 160.0, '2000/12/27'
29601.748899999995, 0, '2000/12/28'
93.56889999999476, 156.0, '2001/01/04'
28719.568899999995, 0, '2001/01/05'
15.568899999994755, 156.0, '2001/01/08'
28719.568899999995, 0, '2001/01/09'
31.963899999995192, 150.0, '2001/01/10'
27406.963899999995, 0, '2001/01/11'
53.06389999999374, 161.0, '2001/01/17'
27208.289899999992, 0, '2001/01/19'
8.289899999992485, 160.0, '2001/01/22'
28088.289899999992, 0, '2001/01/30'
52.289899999992485, 163.0, '2001/02/01'
27791.629899999993, 0, '2001/02/02'
151.63289999999324, 161.0, '2001/02/06'
27763.132899999993, 0, '2001/02/07'
152.57289999999193, 160.0, '2001/02/08'
28446.65289999999, 0, '2001/02/14'
12.65289999999004, 168.0, '2001/02/21'
28917.05289999999, 0, '2001/02/28'
74.6678999999931, 169.0, '2001/03/06'
27945.809899999993, 0, '2001/03/07'
159.1678999999931, 169.0, '2001/03/08'
27875.167899999993, 0, '2001/03/09'
5.567899999994552, 176.0, '2001/03/13'
27498.527899999997, 0, '2001/03/14'
79.84789999999703, 180.0, '2001/03/19'
27619.847899999997, 0, '2001/03/21'
1.3478999999970256, 182.0, '2001/03/23'
29576.347899999997, 0, '2001/03/29'
113.16789999999673, 181.0, '2001/04/02'
29435.167899999997, 0, '2001/04/03'
