#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
FMEG.DE,22-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,23-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,24-JAN-2000,,End Of Day,,82.49,82.75,81.3,82.64,134868,,,Verified
FMEG.DE,25-JAN-2000,,End Of Day,,80.9,81.2,79.34,80.05,130800,,,Verified
FMEG.DE,26-JAN-2000,,End Of Day,,80.5,81.4,77.2,78.99,133571,,,Verified
FMEG.DE,27-JAN-2000,,End Of Day,,78.99,80.6,76.2,80.4,141469,,,Verified
FMEG.DE,28-JAN-2000,,End Of Day,,79.01,82.97,79,80.8,138051,,,Verified
FMEG.DE,29-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,30-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,31-JAN-2000,,End Of Day,,80,80.5,76,80.45,109723,,,Verified
FMEG.DE,01-FEB-2000,,End Of Day,,81.49,83.75,79.1,83.51,179303,,,Verified
FMEG.DE,02-FEB-2000,,End Of Day,,83.5,84,81.65,83.5,128629,,,Verified
FMEG.DE,03-FEB-2000,,End Of Day,,82.2,84.3,82.05,83.3,113200,,,Verified
FMEG.DE,04-FEB-2000,,End Of Day,,83.3,88.5,83.3,88.5,177803,,,Verified
FMEG.DE,05-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,06-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,07-FEB-2000,,End Of Day,,86.25,87,85.25,86.9,112011,,,Verified
FMEG.DE,08-FEB-2000,,End Of Day,,86.9,91,86.2,91,220400,,,Verified
FMEG.DE,09-FEB-2000,,End Of Day,,90.2,90.2,84.55,84.55,150723,,,Verified
FMEG.DE,10-FEB-2000,,End Of Day,,83.1,85.85,83,85.85,197125,,,Verified
FMEG.DE,11-FEB-2000,,End Of Day,,85.89,85.89,81.15,83,286185,,,Verified
FMEG.DE,12-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,13-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,14-FEB-2000,,End Of Day,,83.7,84.2,82,83.87,80239,,,Verified
FMEG.DE,15-FEB-2000,,End Of Day,,83.5,84.1,79,79.4,119362,,,Verified
FMEG.DE,16-FEB-2000,,End Of Day,,80.1,84.5,80.1,82.66,201296,,,Verified
FMEG.DE,17-FEB-2000,,End Of Day,,83.99,86.7,83.05,86.56,154248,,,Verified
FMEG.DE,18-FEB-2000,,End Of Day,,87.49,88.86,86.71,88,284782,,,Verified
FMEG.DE,19-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
