Company name,Date/time,Price,Volume,Value,Bid/Ask
BHP.AX,2000-02-08,19.0,100,1900.0,B
BHP.AX,2000-02-09,18.35,100,1835.0,S
BHP.AX,2000-02-10,17.583,100,1758.3,S
BHP.AX,2000-02-15,17.8,100,1779.9999,B
BHP.AX,2000-02-16,17.1,100,1710.0,S
BHP.AX,2000-02-17,17.011,100,1701.1,B
BHP.AX,2000-02-18,16.6,100,1660.0,S
BHP.AX,2000-02-21,17.05,100,1704.9999,B
BHP.AX,2000-02-29,16.092,100,1609.2,S
BHP.AX,2000-03-02,16.4,100,1640.0,B
BHP.AX,2000-03-06,15.787,100,1578.7,S
BHP.AX,2000-03-07,16.5,100,1650.0,B
BHP.AX,2000-03-08,16.07,100,1607.0,S
BHP.AX,2000-03-09,16.95,100,1695.0001,B
BHP.AX,2000-03-10,17.228,100,1722.8,S
BHP.AX,2000-03-13,17.35,100,1735.0,B
BHP.AX,2000-03-14,17.9,100,1790.0,S
BHP.AX,2000-03-15,17.654,100,1765.3999,S
BHP.AX,2000-03-16,18.21,100,1820.9999,B
BHP.AX,2000-03-17,18.0,100,1800.0,S
BHP.AX,2000-03-21,17.75,100,1775.0,S
BHP.AX,2000-03-22,17.888,100,1788.8,B
BHP.AX,2000-03-29,17.65,100,1765.0,B
BHP.AX,2000-04-03,18.431,100,1843.1,B
BHP.AX,2000-04-06,18.85,100,1885.0,S
BHP.AX,2000-04-10,18.15,100,1815.0,S
BHP.AX,2000-04-11,17.85,100,1785.0,S
BHP.AX,2000-04-13,17.8,100,1779.9999,B
BHP.AX,2000-04-17,17.3,100,1729.9999,S
BHP.AX,2000-04-18,17.6,100,1760.0,B
BHP.AX,2000-04-19,17.99,100,1799.0,B
BHP.AX,2000-04-26,18.53,100,1853.0001,B
BHP.AX,2000-04-27,18.4,100,1840.0,S
BHP.AX,2000-05-01,18.06,100,1806.0,S
BHP.AX,2000-05-02,18.751,100,1875.1,B
BHP.AX,2000-05-03,18.291,100,1829.1001,S
BHP.AX,2000-05-05,17.52,100,1752.0,S
BHP.AX,2000-05-08,17.775,100,1777.5,B
BHP.AX,2000-05-10,16.6,100,1660.0,S
BHP.AX,2000-05-12,16.873,100,1687.2999,B
BHP.AX,2000-05-15,17.1,100,1710.0,B
BHP.AX,2000-05-16,17.754,100,1775.4,B
BHP.AX,2000-05-17,17.56,100,1756.0,S
BHP.AX,2000-05-18,17.306,100,1730.6,S
BHP.AX,2000-05-19,17.2,100,1720.0001,S
BHP.AX,2000-05-23,17.43,100,1743.0,B
BHP.AX,2000-05-25,17.78,100,1778.0001,B
BHP.AX,2000-05-26,17.45,100,1745.0001,S
